Id,Source,ObjectType,ObjectName,ObjectLabel,TopicNumber,ObjectParent,DefinedBy,TaxonomyNetwork
12,ASC,[Heading],SignificantAccountingPolicies,Significant Accounting Policies,235,FinancialReport,https://asc.fasb.org/section&nav_type=topic_page&analyticsAssetName=topic_page_para_group&trid=2122385#d3e18722-107790,None
13,ASC,[TOPIC],AccountingPolicies,Accounting Policies,234,SignificantAccountingPolicies,https://asc.fasb.org/section&nav_type=topic_page&analyticsAssetName=topic_page_para_group&trid=2122385#d3e18722-107790,http://fasb.org/us-gaap/role/disclosure/AccountingPolicies
14,ASC,[TOPIC],NewAccountingPronouncements,New Accounting Pronouncements,250,SignificantAccountingPolicies,https://asc.fasb.org/,None
15,ASC,[TOPIC],OtherAccountingPoliciesRelated,Other Accounting Policies Related,250,SignificantAccountingPolicies,https://asc.fasb.org/,None
16,ASC,[Heading],FinancialStatementAccounts,Financial Statement Accounts,XXX,FinancialReport,https://asc.fasb.org/,None
17,ASC,[TOPIC],CashAndCashEquivalents,Cash and Cash Equivalents,305,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2122426,http://fasb.org/us-gaap/role/disclosure/CashAndCashEquivalents
18,ASC,[TOPIC],Receivables,Receivables,310,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2196771,http://fasb.org/us-gaap/role/disclosure/ReceivablesLoansNotesReceivableAndOthers
19,ASC,[TOPIC],DebtAndEquitySecurities,Investments-Debt and Equity Securities,320,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2196928,http://fasb.org/us-gaap/role/disclosure/InvestmentsDebtAndEquitySecurities
20,ASC,[TOPIC],EquityMethodJointVentures,Investments-Equity Method Joint Ventures,323,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2196965,http://fasb.org/us-gaap/role/disclosure/InvestmentsEquityMethodAndJointVentures
21,ASC,[TOPIC],InvestmentsOther,Investments-Other,325,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2197064,http://fasb.org/us-gaap/role/disclosure/InvestmentsAllOtherInvestments
22,ASC,[TOPIC],Inventory,Inventory,330,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2126998,http://fasb.org/us-gaap/role/disclosure/Inventory
23,ASC,[TOPIC],DeferredCosts,Other Assets and Deferred Costs,340,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2127033,http://fasb.org/us-gaap/role/disclosure/DeferredCostsCapitalizedPrepaidAndOtherAssets
24,ASC,[TOPIC],PropertyPlantAndEquipment,"Property, Plant, and Equipment",360,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2155823,http://fasb.org/us-gaap/role/disclosure/PropertyPlantAndEquipment
25,ASC,[TOPIC],IntangibleAssetsGoodwillAndOther,Intangibles-Goodwill and Other,350,FinancialStatementAccounts,https://asc.fasb.org/topic&trid=2144416,http://fasb.org/us-gaap/role/disclosure/IntangibleAssetsGoodwillAndOther
